g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	p(6)	
0	4	1.13275	284.225	3286.58	0.824075	11159.1	497.897	573669	6198.18
0	6	3.55599	213.277	644.065	1.07721	72532.7	995.09	997267	2256.69
0	3	9.74646	91.2914	2113.53	9.15779	72398.2	327.051	711581	6434
0	1	13.3908	55.923	6263.45	3.90983	28947.1	905.405	456475	8387.4
0	8	16.1409	240.15	3276.67	7.6529	32554.1	700.225	718795	4134.92
0	9	17.6647	153.586	9623.29	2.85989	86798.8	798.253	65318.1	6881.41
0	10	17.9989	268.612	4672.62	5.9897	86891.1	981.621	130844	3463.01
0	7	20.3444	247.265	6494.22	4.63366	93581.3	650.917	606681	7907.38
0	2	24.5001	97.4529	5582.91	9.98568	51579.2	88.3023	702046	9825.63
0	5	26.5539	171.774	7895.39	5.85475	68873.5	915.06	291267	8786.97
1	23	0.338857	97.1599	3254.55	0.816486	51709.3	499.068	568553	6206.72
1	4	1.13275	255.803	2957.92	0.741667	10043.2	448.107	516302	5578.36
1	6	3.55599	213.277	644.065	1.07721	72532.7	995.09	997267	2256.69
1	24	6.35073	91.2354	2096.67	7.60053	18013.1	698.104	714952	6400.67
1	3	9.74646	91.2914	2113.53	9.15779	72398.2	327.051	711581	6434
1	25	11.4693	213.628	9623.93	1.08407	85955.1	1000	1e+06	2235.49
1	30	11.4913	281.986	3319.39	4.61032	77241.7	499.05	935224	6250.68
1	28	13.0721	56.4377	6243.19	3.87464	6411.3	799.436	454269	6817.11
1	1	13.3908	55.923	6263.45	3.90983	28947.1	905.405	456475	8387.4
1	21	13.8916	241.496	3257.69	7.69211	32608.3	799.976	65879	4137.82
2	23	0.338857	87.4439	2929.09	0.898134	46538.4	449.161	511697	5586.05
2	40	0.362131	211.451	638.508	1.08624	72271.3	989.407	711825	6487.23
2	4	1.13275	255.803	2957.92	0.741667	10043.2	448.107	516302	5578.36
2	35	1.37015	96.8602	3253.16	0.810019	51195.4	495.146	574159	2231.68
2	34	1.37157	242.026	647.152	7.66661	72596.9	806.319	65364.4	2259.05
2	6	3.55599	213.277	644.065	1.07721	72532.7	995.09	997267	2256.69
2	32	5.21033	256.884	9626.73	0.736965	86552.6	451.465	513963	5593.51
2	37	6.09988	254.508	2940.87	3.93902	29107.6	449.274	460199	8465.33
2	24	6.35073	91.2354	2096.67	7.60053	18013.1	698.104	714952	6400.67
2	36	6.86005	90.3355	2089.59	7.67251	58747.5	792.213	719013	6823.7
3	44	0.185031	86.6524	2904.38	0.736245	46838.7	455.395	513760	5552.21
3	45	0.228485	195.82	633.015	1.08343	72438.5	995.608	508801	6482.43
3	23	0.280229	78.6995	2636.19	0.987948	41884.5	404.245	460528	5027.44
3	40	0.362131	211.451	638.508	1.08624	72271.3	989.407	711825	6487.23
3	42	0.683395	88.153	645.268	7.70093	46348.4	448.047	509922	5600.93
3	4	1.13275	255.803	2957.92	0.741667	10043.2	448.107	516302	5578.36
3	48	1.28019	241.885	648.735	7.74158	71813.7	999.863	64807.9	2249.44
3	35	1.37015	96.8602	3253.16	0.810019	51195.4	495.146	574159	2231.68
3	34	1.37157	242.026	647.152	7.66661	72596.9	806.319	65364.4	2259.05
3	49	2.75393	212.367	3245.54	1.08303	50776.2	986.434	576223	2210.51
4	44	0.185031	77.9872	2613.94	0.809869	42154.8	409.856	462384	4996.99
4	57	0.205912	87.6217	635.001	1.08234	72339.7	996.942	732108	6430.68
4	53	0.210345	96.0222	3242.78	0.805268	71821.6	499.56	65127.3	2230.53
4	45	0.228485	195.82	633.015	1.08343	72438.5	995.608	508801	6482.43
4	51	0.270958	78.7743	2642.02	0.979697	72408.2	995.791	504058	5043.43
4	23	0.280229	78.6995	2636.19	0.987948	41884.5	404.245	460528	5027.44
4	58	0.361735	78.3384	627.963	1.08512	72116.7	996.005	508736	7801.8
4	40	0.362131	211.451	638.508	1.08624	72271.3	989.407	711825	6487.23
4	42	0.683395	88.153	645.268	7.70093	46348.4	448.047	509922	5600.93
4	4	1.13275	255.803	2957.92	0.741667	10043.2	448.107	516302	5578.36
5	44	0.150352	70.1885	2352.54	0.890856	37939.3	368.87	416146	4497.29
5	66	0.161369	77.7176	2648.99	0.808505	42128.4	553.03	462348	4995.91
5	57	0.205912	87.6217	635.001	1.08234	72339.7	996.942	732108	6430.68
5	53	0.210345	96.0222	3242.78	0.805268	71821.6	499.56	65127.3	2230.53
5	45	0.228485	195.82	633.015	1.08343	72438.5	995.608	508801	6482.43
5	62	0.232013	196.762	639.441	1.08808	72990.9	987.065	508308	6485.79
5	67	0.232679	197.394	634.182	1.08686	72458.6	997.291	509938	6452.63
5	51	0.270958	78.7743	2642.02	0.979697	72408.2	995.791	504058	5043.43
